cuenta_id,nombre,saldo_original,edad,tipo,interes_aplicado,saldo_final
147,Charlie Green,7000.0,25,prestamo,-140.0,6860.0
110,Bob Johnson,7000.0,35,hipoteca,210.0,7210.0
140,Alice Brown,5000.0,35,prestamo,-100.0,4900.0
112,Steve Rogers,8000.0,30,prestamo,-160.0,7840.0
102,Alice Brown,8000.0,45,prestamo,-160.0,7840.0
131,Diana Prince,5000.0,45,hipoteca,150.0,5150.0
104,Steve Rogers,10000.0,25,prestamo,-200.0,9800.0
138,Alice Brown,8000.0,45,prestamo,-160.0,7840.0
121,Bob Johnson,8000.0,35,hipoteca,240.0,8240.0
130,John Doe,5000.0,25,prestamo,-100.0,4900.0
133,Alice Brown,12000.0,100,hipoteca,360.0,12360.0
106,Jane Smith,12000.0,40,prestamo,-240.0,11760.0
136,Diana Prince,5000.0,40,prestamo,-100.0,4900.0
122,Bob Johnson,7000.0,40,hipoteca,210.0,7210.0
105,Unknown,10000.0,45,prestamo,-200.0,9800.0
108,Jane Smith,12000.0,100,prestamo,-240.0,11760.0
135,Steve Rogers,12000.0,25,ahorro,600.0,12600.0
126,John Doe,5000.0,45,ahorro,250.0,5250.0
124,Bob Johnson,12000.0,35,hipoteca,360.0,12360.0
133,Steve Rogers,12000.0,40,prestamo,-240.0,11760.0
101,Alice Brown,8000.0,25,hipoteca,240.0,8240.0
130,Diana Prince,12000.0,45,hipoteca,360.0,12360.0
138,Alice Brown,12000.0,30,ahorro,600.0,12600.0
101,John Doe,8000.0,30,hipoteca,240.0,8240.0
137,Steve Rogers,12000.0,30,ahorro,600.0,12600.0
129,Diana Prince,8000.0,45,ahorro,400.0,8400.0
145,Charlie Green,8000.0,150,ahorro,400.0,8400.0
138,Jane Smith,12000.0,30,prestamo,-240.0,11760.0
127,Bob Johnson,5000.0,30,ahorro,250.0,5250.0
137,Jane Smith,10000.0,45,hipoteca,300.0,10300.0
117,Steve Rogers,12000.0,100,ahorro,600.0,12600.0
123,John Doe,5000.0,25,ahorro,250.0,5250.0
128,Diana Prince,7000.0,100,prestamo,-140.0,6860.0
122,Charlie Green,10000.0,45,hipoteca,300.0,10300.0
147,Alice Brown,8000.0,100,hipoteca,240.0,8240.0
102,Jane Smith,5000.0,40,prestamo,-100.0,4900.0
137,Jane Smith,8000.0,100,ahorro,400.0,8400.0
109,Charlie Green,7000.0,45,hipoteca,210.0,7210.0
127,Charlie Green,5000.0,150,ahorro,250.0,5250.0
139,Charlie Green,7000.0,150,prestamo,-140.0,6860.0
113,Alice Brown,10000.0,45,prestamo,-200.0,9800.0
132,Charlie Green,5000.0,100,ahorro,250.0,5250.0
111,Diana Prince,5000.0,30,prestamo,-100.0,4900.0
132,Diana Prince,8000.0,45,hipoteca,240.0,8240.0
110,Jane Smith,8000.0,100,ahorro,400.0,8400.0
143,Steve Rogers,8000.0,40,prestamo,-160.0,7840.0
123,Alice Brown,12000.0,35,hipoteca,360.0,12360.0
139,Charlie Green,10000.0,40,ahorro,500.0,10500.0
137,Charlie Green,5000.0,40,hipoteca,150.0,5150.0
105,Diana Prince,10000.0,25,prestamo,-200.0,9800.0
118,Jane Smith,12000.0,35,ahorro,600.0,12600.0
143,Steve Rogers,12000.0,30,ahorro,600.0,12600.0
147,Charlie Green,10000.0,150,hipoteca,300.0,10300.0
140,Diana Prince,5000.0,100,prestamo,-100.0,4900.0
133,Alice Brown,10000.0,45,hipoteca,300.0,10300.0
145,Bob Johnson,12000.0,35,hipoteca,360.0,12360.0
110,Jane Smith,7000.0,40,ahorro,350.0,7350.0
101,Charlie Green,12000.0,35,hipoteca,360.0,12360.0
132,Unknown,5000.0,35,hipoteca,150.0,5150.0
136,Steve Rogers,5000.0,40,hipoteca,150.0,5150.0
121,Bob Johnson,7000.0,30,hipoteca,210.0,7210.0
133,Diana Prince,8000.0,40,prestamo,-160.0,7840.0
117,Bob Johnson,7000.0,40,ahorro,350.0,7350.0
111,John Doe,12000.0,40,hipoteca,360.0,12360.0
126,Bob Johnson,12000.0,35,prestamo,-240.0,11760.0
145,Steve Rogers,12000.0,30,ahorro,600.0,12600.0
114,Steve Rogers,7000.0,100,ahorro,350.0,7350.0
107,John Doe,12000.0,45,hipoteca,360.0,12360.0
118,John Doe,8000.0,40,prestamo,-160.0,7840.0
